(61,254)
(57,172)
(58,259)
(59,171)
(64,170)
(63,259)
(68,259)
(70,164)
(70,164)
(55,90)
(55,89)
(55,118)
(60,151)
(60,89)
(62,89)
(65,83)
(65,154)
(66,155)
(70,164)
(70,83)
(70,164)
(68,259)
(70,83)
(75,83)
(73,259)
(78,259)
(80,87)
(83,84)
(81,259)
(81,259)
(81,259)
(83,162)
(84,170)
(87,170)
(86,259)
(86,259)
(86,259)
(87,233)
(91,235)
(91,259)
(96,237)
(87,233)
(87,233)
(88,171)
(88,219)
(93,219)
(93,172)
(96,208)
(98,206)
(98,219)
(101,220)
(103,239)
(103,201)
(108,201)
(108,239)
(113,239)
(113,200)
(118,200)
(118,239)
(123,239)
(123,199)
(128,199)
(128,237)
(133,234)
(101,220)
(88,219)
(87,233)
(96,237)
(86,259)
(86,259)
(86,259)
(81,259)
(83,162)
(83,162)
(83,84)
(88,82)
(88,161)
(93,160)
(93,85)
(96,95)
(98,94)
(98,139)
(101,139)
(102,179)
(103,92)
(108,91)
(107,183)
(112,183)
(113,88)
(118,82)
(117,183)
(122,183)
(123,82)
(128,82)
(127,193)
(131,187)
(132,82)
(132,129)
(132,129)
(131,187)
(132,145)
(132,145)
(132,128)
(137,126)
(137,141)
(138,142)
(138,125)
(138,142)
(138,142)
(137,184)
(136,184)
(137,142)
(132,145)
(131,186)
(133,184)
(137,184)
(137,184)
(138,125)
(139,125)
(138,184)
(139,125)
(133,124)
(132,129)
(132,82)
(137,82)
(137,124)
(139,125)
(139,82)
(139,82)
(159,83)
(158,184)
(153,184)
(154,83)
(149,83)
(148,184)
(143,184)
(144,83)
(139,82)
(138,184)
(158,184)
(158,184)
(159,127)
(159,127)
(159,142)
(159,127)
(161,131)
(164,129)
(163,143)
(164,144)
(163,184)
(163,144)
(160,146)
(159,142)
(158,184)
(163,184)
(163,184)
(164,129)
(165,129)
(164,184)
(165,129)
(159,127)
(159,83)
(164,83)
(163,128)
(165,129)
(165,83)
(165,129)
(164,184)
(165,83)
(170,83)
(169,184)
(174,184)
(175,84)
(180,84)
(179,184)
(184,184)
(185,84)
(190,84)
(189,184)
(194,184)
(195,84)
(196,84)
(195,184)
(196,169)
(196,169)
(196,84)
(196,169)
(195,184)
(196,169)
(200,169)
(200,184)
(205,184)
(205,169)
(210,170)
(210,184)
(214,185)
(215,186)
(215,170)
(220,170)
(220,188)
(225,187)
(225,171)
(230,171)
(230,186)
(235,185)
(235,171)
(240,172)
(240,171)
(240,185)
(245,185)
(246,167)
(247,167)
(248,102)
(247,185)
(248,102)
(242,102)
(248,86)
(248,102)
(244,102)
(244,86)
(239,85)
(239,139)
(234,141)
(234,85)
(229,85)
(229,144)
(229,144)
(202,163)
(204,85)
(203,163)
(208,163)
(209,85)
(214,85)
(213,163)
(218,163)
(219,85)
(224,85)
(223,163)
(228,163)
(229,85)
(229,144)
(229,152)
(228,163)
(229,144)
(229,152)
(233,154)
(233,163)
(238,163)
(238,157)
(240,158)
(228,163)
(202,163)
(229,85)
(229,85)
(248,86)
(242,102)
(229,144)
(242,102)
(248,102)
(247,185)
(248,86)
(253,86)
(252,185)
(257,185)
(258,86)
(263,86)
(262,186)
(267,186)
(268,86)
(273,86)
(272,186)
(272,186)
(272,186)
(273,120)
(273,119)
(280,116)
(280,142)
(278,141)
(278,117)
(273,119)
(273,146)
(273,146)
(280,142)
(279,186)
(277,186)
(278,143)
(273,146)
(272,186)
(279,186)
(279,186)
(280,116)
(281,116)
(280,186)
(281,116)
(274,115)
(273,120)
(273,86)
(278,86)
(278,115)
(281,116)
(281,91)
(281,91)
(282,94)
(300,94)
(309,88)
(308,187)
(305,187)
(306,88)
(301,92)
(300,187)
(295,187)
(296,87)
(291,87)
(290,187)
(285,186)
(286,88)
(282,94)
(281,91)
(280,186)
(309,147)
(309,147)
(309,88)
(310,88)
(309,143)
(309,147)
(308,187)
(309,147)
(312,145)
(312,195)
(312,195)
(310,290)
(308,195)
(307,290)
(302,290)
(303,196)
(298,197)
(297,290)
(310,290)
(310,290)
(312,145)
(317,144)
(315,290)
(317,144)
(316,143)
(317,88)
(317,88)
(317,88)
(317,116)
(315,115)
(315,88)
(310,88)
(310,121)
(310,121)
(316,121)
(317,116)
(316,143)
(314,143)
(315,121)
(310,121)
(309,143)
(310,121)
(310,121)
(311,115)
(317,88)
(317,88)
(317,88)
(316,143)
(317,144)
(318,290)
(320,91)
(319,94)
(317,89)
(315,290)
(318,290)
(318,290)
(319,233)
(319,233)
(319,233)
(320,91)
(325,88)
(323,234)
(324,235)
(319,251)
(319,233)
(320,237)
(324,235)
(323,252)
(323,252)
(323,252)
(325,88)
(324,253)
(323,290)
(323,253)
(320,255)
(319,251)
(318,290)
(323,290)
(323,290)
(325,88)
(328,88)
(325,290)
(325,290)
(325,290)
(327,189)
(328,196)
(331,196)
(330,290)
(335,290)
(336,198)
(341,199)
(328,196)
(327,189)
(327,189)
(328,88)
(333,88)
(332,187)
(337,186)
(338,88)
(342,185)
